id,S_ime,W_time,R_time,Processors,type,Max_resource,Min_resource
190946,55786972,63,13369,64,1,64,64
190947,55788857,2,6121,32,1,32,32
190948,55791343,6,6424,256,1,256,256
190949,55793275,4180,21209,32,1,32,32
190950,55795000,1,12324,32,1,32,32
190951,55796778,2,629,32,1,32,32
190955,55797745,1,674,32,1,32,32
190956,55798581,1,775,32,1,32,32
190957,55798650,64,12900,32,1,32,32
190958,55800339,66,13445,64,1,64,64
190959,55800628,2,844,32,1,32,32
190960,55800640,1,1019,32,1,32,32
190961,55801860,1,793,32,1,32,32
190962,55802051,2,1005,32,1,32,32
190963,55802306,2,11351,128,1,128,128
190964,55802638,11783,4034,128,1,128,128
190965,55802736,3,897,32,1,32,32
190966,55803159,6,964,32,1,32,32
190967,55803840,3,22,32,1,32,32
190968,55804066,3,477,32,1,32,32
190969,55804669,2,560,32,1,32,32
190970,55805055,9,714,32,1,32,32
190971,55807345,1,10856,32,1,32,32
190972,55807803,1,605,32,1,32,32
190973,55808626,1,1071,32,1,32,32
190974,55810931,1,1435,32,1,32,32
190975,55811533,49648,11816,32,1,32,32
190976,55812531,1896,148,128,1,128,128
190977,55812671,1,31,32,1,32,32
190978,55813405,4,226,32,1,32,32
190979,55813668,3,1272,32,1,32,32
190980,55813819,55063,12270,64,1,64,64
190981,55814490,0,55,64,1,64,64
190982,55814576,1,64,64,1,64,64
190983,55814643,1,77,32,1,32,32
190984,55814722,1,460,128,1,128,128
190985,55818248,8,3680,32,1,32,32
190986,55818684,2,1927,128,1,128,128
190987,55820225,2,6,32,1,32,32
190988,55820509,2,11775,512,1,512,512
190989,55820899,2,5813,128,1,128,128
190990,55821047,6,8390,64,1,64,64
190991,55821936,0,21,64,1,64,64
190992,55821956,2,9660,64,1,64,64
190993,55821991,0,71,64,1,64,64
190994,55821991,2,3685,32,1,32,32
190995,55822400,1,4569,128,1,128,128
190996,55822954,1,88,32,1,32,32
190997,55823120,1,1082,128,1,128,128
191000,55824555,1,10846,64,1,64,64
191001,55825740,2,3671,32,1,32,32
191002,55825770,2,8,32,1,32,32
191003,55825797,2,951,32,1,32,32
191004,55826439,2,511,64,1,64,64
191005,55827067,1,4426,256,1,256,256
191006,55827544,2,9373,64,1,64,64
191007,55829326,1,27,64,1,64,64
191008,55829425,2,3694,32,1,32,32
191009,55829441,11640,10973,64,1,64,64
191010,55829530,2,1168,32,1,32,32
191011,55829799,2,3881,128,1,128,128
191012,55830586,4443,6050,64,1,64,64
191013,55830612,1,21,64,1,64,64
191014,55830756,50398,19070,64,1,64,64
191015,55831119,3,26,64,1,64,64
191016,55831129,2,25,64,1,64,64
191017,55831363,1,159,32,1,32,32
191018,55831576,2,23,64,1,64,64
191019,55831599,5012,9394,64,1,64,64
191020,55831788,2,973,32,1,32,32
191021,55832031,4,301,32,1,32,32
191022,55832356,2,11,64,1,64,64
191023,55832647,2,13,64,1,64,64
191024,55832737,4,15,64,1,64,64
191025,55833171,8,6312,32,1,32,32
191026,55833439,5,3474,128,1,128,128
191027,55833503,3,692,32,1,32,32
191028,55834034,1,10622,32,1,32,32
191029,55834206,2,5287,32,1,32,32
191030,55834335,1,7023,512,1,512,512
191031,55834600,1,19,64,1,64,64
191032,55835027,5,85,32,1,32,32
191033,55835266,1,25,64,1,64,64
191034,55835273,2,3,32,1,32,32
191035,55835598,3,89,32,1,32,32
191036,55835819,1,21,64,1,64,64
191037,55835975,2,3,32,1,32,32
191038,55836011,2,20,32,1,32,32
191039,55836022,0,25,32,1,32,32
191040,55836046,2,12,64,1,64,64
191041,55836356,1,17,64,1,64,64
191042,55836499,1,10,64,1,64,64
191043,55836673,0,60,64,1,64,64
191044,55836826,1,22,32,1,32,32
191045,55836912,1,3091,128,1,128,128
191046,55836991,3,17,32,1,32,32
191047,55837032,1,41,32,1,32,32
191048,55837050,1,949,128,1,128,128
191049,55837164,1,14,64,1,64,64
191050,55837413,2,14,64,1,64,64
191051,55837530,2,144,32,1,32,32
191052,55838026,1,950,128,1,128,128
191053,55838298,1,20,64,1,64,64
191054,55838785,1,54,64,1,64,64
191055,55839393,1,21,64,1,64,64
191056,55839515,2,3684,32,1,32,32
191057,55839522,1,21,64,1,64,64
191058,55839640,1,1064,64,1,64,64
191059,55839878,1,27,64,1,64,64
191060,55839998,2,3101,128,1,128,128
191061,55840640,2,19,64,1,64,64
191062,55840779,5,22,64,1,64,64
191063,55840967,1,1264,64,1,64,64
191064,55841077,129,7072,64,1,64,64
191065,55841108,2,2662,32,1,32,32
191066,55841416,4,2175,512,1,512,512
191067,55841577,2,23,64,1,64,64
191068,55842909,1,1520,64,1,64,64
191069,55843095,2,13564,128,1,128,128
191070,55843256,1,3681,32,1,32,32
191071,55843992,4,10983,128,1,128,128
191072,55844202,1,24,64,1,64,64
191073,55844671,2,4087,256,1,256,256
191074,55844772,2,27,64,1,64,64
191075,55845521,2,17,32,1,32,32
191076,55845940,1,9918,64,1,64,64
191077,55846083,2,14,32,1,32,32
191078,55846096,2,183,32,1,32,32
191079,55846262,2,16,64,1,64,64
191080,55846278,1,3227,32,1,32,32
191081,55846519,2,1355,64,1,64,64
191082,55846791,2,22544,512,1,512,512
191083,55846826,2,24,64,1,64,64
191084,55846995,1,3687,32,1,32,32
191085,55847122,1,394,128,1,128,128
191086,55847228,1,1370,128,1,128,128
191087,55847407,2,4915,128,1,128,128
191088,55847485,1,88,64,1,64,64
191089,55847727,2,1550,32,1,32,32
191090,55847888,1,1616,64,1,64,64
191091,55848275,5,5997,64,1,64,64
191092,55848365,2,23,128,1,128,128
191093,55848459,1,123,64,1,64,64
191094,55848575,2,5117,128,1,128,128
191095,55848596,1,47,64,1,64,64
191096,55848659,1,45,128,1,128,128
191097,55848752,1,37724,128,1,128,128
191098,55849222,2,20,32,1,32,32
191099,55849339,2,182,32,1,32,32
191100,55849398,1,275,256,1,256,256
191101,55849531,2,168,32,1,32,32
191102,55849751,2,36,32,1,32,32
191103,55850082,2,18,32,1,32,32
191104,55850488,1,732,256,1,256,256
191105,55850511,2,10,32,1,32,32
191106,55850733,2,6735,32,1,32,32
191107,55850883,1,11710,32,1,32,32
191108,55850990,1,178,32,1,32,32
191109,55851067,2,1584,64,1,64,64
191110,55851440,2,2630,32,1,32,32
191111,55852231,2,19380,128,1,128,128
191112,55852668,2,1154,64,1,64,64
191113,55853512,2,8,64,1,64,64
191114,55853838,1,431,64,1,64,64
191115,55853943,2,9,64,1,64,64
191116,55854261,2,1666,64,1,64,64
191117,55854273,2,6815,64,1,64,64
191118,55855039,4,439,32,1,32,32
191119,55855380,2,59,32,1,32,32
191120,55855552,2,1512,32,1,32,32
191121,55855821,1,9135,64,1,64,64
191122,55855858,2,850,32,1,32,32
191123,55856247,2,12632,64,1,64,64
191124,55856653,2,7868,128,1,128,128
191125,55857480,1,3698,32,1,32,32
191126,55858994,1,599,32,1,32,32
191127,55861088,39734,4953,64,1,64,64
191128,55861215,1,4046,32,1,32,32
191129,55862232,1,5,32,1,32,32
191130,55862290,2,643,32,1,32,32
191131,55864521,36292,5748,128,1,128,128
191132,55864895,35930,8170,64,1,64,64
191133,55865312,1,5285,32,1,32,32
191134,55865827,1,804,32,1,32,32
191135,55866472,2,603,32,1,32,32
191136,55866880,4,793,32,1,32,32
191137,55867164,1,983,32,1,32,32
191138,55868247,1,642,32,1,32,32
191139,55869640,1,22608,512,1,512,512
191140,55870613,1,4157,32,1,32,32
191141,55871531,29303,6652,128,1,128,128
191142,55872530,2,338,32,1,32,32
191143,55872934,64,11741,32,1,32,32
191144,55873084,1,684,32,1,32,32
191145,55874216,2,9426,256,1,256,256
191146,55874831,1,3711,32,1,32,32
191147,55877416,1,54,32,1,32,32
191148,55878568,2,3675,32,1,32,32
191149,55881060,0,30,64,1,64,64
191150,55881089,64171,12664,64,1,64,64
191151,55882305,1,3672,32,1,32,32
191152,55883642,4,9659,256,1,256,256
191153,55884678,61,11580,32,1,32,32
191154,55885980,1,3684,32,1,32,32
191155,55889715,1,3676,32,1,32,32
191156,55892360,2,7851,128,1,128,128
191157,55892516,2,11411,512,1,512,512
191158,55893304,4,9230,256,1,256,256
191159,55893451,1,15,32,1,32,32
191160,55893516,1,924,32,1,32,32
191161,55893580,1,910,32,1,32,32
191162,55893644,799,917,32,1,32,32
191163,55894490,3,909,32,1,32,32
191164,55894556,805,940,32,1,32,32
191165,55895400,3,915,32,1,32,32
191166,55895466,837,903,32,1,32,32
191167,55896300,47658,11754,32,1,32,32
191168,55896371,1,905,32,1,32,32
191169,55898931,1906,166,128,1,128,128
191170,55901004,2,63,64,1,64,64
191171,55901070,1,84,32,1,32,32
191172,55901156,2,409,128,1,128,128
191173,55901568,1,412,64,1,64,64
191174,55901983,1,296,32,1,32,32
191175,55902537,3,7793,256,1,256,256
191176,55903956,2,4894,512,1,512,512
191177,55904970,2,204,32,1,32,32
191178,55905426,2,3682,32,1,32,32
191179,55905772,1,4349,64,1,64,64
191180,55905882,1,1191,32,1,32,32
191181,55906556,1,7736,128,1,128,128
191182,55907792,10,8733,128,1,128,128
191183,55908008,2,5356,128,1,128,128
191184,55908953,2,7786,64,1,64,64
191185,55908994,2,1829,512,1,512,512
191186,55909162,3,3674,32,1,32,32
191187,55909446,1,10891,128,1,128,128
191188,55909732,2,87,32,1,32,32
191189,55910117,1,4914,64,1,64,64
191190,55910209,1,232,32,1,32,32
191191,55910331,4,7893,256,1,256,256
191192,55910405,33557,19987,128,1,128,128
191193,55910464,2,141,32,1,32,32
191194,55910544,1,1874,64,1,64,64
191195,55910739,4,150,32,1,32,32
191197,55911324,2,25,32,1,32,32
191198,55911547,1,191,32,1,32,32
191199,55912186,1,53,512,1,512,512
191200,55912844,2,137,64,1,64,64
191201,55912886,1,1327,512,1,512,512
191202,55912900,2,4430,32,1,32,32
191203,55913003,1,263,32,1,32,32
191204,55913272,1,231,32,1,32,32
191205,55913568,2,49,32,1,32,32
191206,55913894,321,444,512,1,512,512
191207,55914122,1,91,32,1,32,32
191208,55914251,409,2088,512,1,512,512
191209,55914288,1,14306,128,1,128,128
191210,55914473,1,390,32,1,32,32
191211,55914955,2,58,32,1,32,32
191212,55915029,1,4681,64,1,64,64
191213,55915146,1603,1670,512,1,512,512
191214,55915235,4,1759,32,1,32,32
191215,55915446,1,117,32,1,32,32
191216,55915587,1,29,32,1,32,32
191217,55915874,4,13250,128,1,128,128
191218,55916015,2,35,32,1,32,32
191219,55916055,2,3775,32,1,32,32
191220,55916678,1,11516,64,1,64,64
191221,55917362,2,4347,32,1,32,32
191222,55917393,2,66,32,1,32,32
191223,55918227,193,8795,512,1,512,512
191224,55918541,1,2666,64,1,64,64
191225,55918726,9,113,32,1,32,32
191226,55919098,2,196,32,1,32,32
191227,55919205,2,155,32,1,32,32
191228,55919363,2,27,32,1,32,32
191229,55919391,3,1342,32,1,32,32
191230,55919492,3,78,32,1,32,32
191231,55919707,2,8580,64,1,64,64
191232,55921765,2,3683,32,1,32,32
191233,55921838,2,187,32,1,32,32
191234,55923331,4,1250,256,1,256,256
191235,55923936,3280,1289,512,1,512,512
191236,55924206,380,1064,256,1,256,256
191237,55925303,348,10677,256,1,256,256
191238,55925502,160,3703,32,1,32,32
191239,55926835,6,53,64,1,64,64
191241,55926942,1,4501,64,1,64,64
191242,55927131,4,8,32,1,32,32
191243,55927212,1294,8839,512,1,512,512
