S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource
18864,7,34,32,128,1,32,32
18918,5,25,32,129,1,32,32
19128,425,9104,256,130,1,256,256
19186,7,3938,64,131,1,64,64
19354,5,49,32,132,1,32,32
19395,3,2211,128,133,1,128,128
19533,8,41,32,134,1,32,32
19746,5,25,32,135,1,32,32
19813,5,129,64,136,1,64,64
19875,11,12513,512,137,1,512,512
20141,19,35,32,138,1,32,32
20380,6,26,32,139,1,32,32
20500,5,46,64,140,1,64,64
20774,13,31,32,141,1,32,32
20907,5,59,32,142,1,32,32
21561,23,968,128,143,1,128,128
21590,13,68,32,144,1,32,32
21725,11,478,32,145,1,32,32
22007,6653,713,256,146,1,256,256
22262,6,31,32,147,1,32,32
22374,9,1370,32,148,1,32,32
22467,6,77,32,149,1,32,32
22478,5,67,32,150,1,32,32
22623,10,49,32,151,1,32,32
22799,5,1427,128,152,1,128,128
22848,4,10,32,153,1,32,32
22868,7,25,32,154,1,32,32
22949,5,1023,32,155,1,32,32
23020,6,49,64,156,1,64,64
23181,6,8460,128,157,1,128,128
23290,4,72,64,158,1,64,64
23603,5,131,64,159,1,64,64
23793,4,61,128,160,1,128,128
23804,3,114,128,161,1,128,128
23811,5,24,32,162,1,32,32
23919,6,297,32,163,1,32,32
24009,7,28,64,164,1,64,64
24021,5,123,32,165,1,32,32
24127,4,7500,128,166,1,128,128
24261,3,25,64,167,1,64,64
24266,5,1015,32,168,1,32,32
24281,4,45,32,169,1,32,32
24447,7,3617,32,170,1,32,32
24557,6,659,32,171,1,32,32
24587,6,27,64,172,1,64,64
24598,3,76,128,173,1,128,128
24999,4,95,128,174,1,128,128
25040,60,30,64,175,1,64,64
25055,0,114,32,176,1,32,32
25122,6527,347,128,177,1,128,128
25222,0,59,32,178,1,32,32
25279,4,847,64,179,1,64,64
25425,6,35,32,180,1,32,32
25428,0,250,32,181,1,32,32
25576,6402,174,128,182,1,128,128
25581,6,28,32,183,1,32,32
25644,7,119,32,184,1,32,32
25747,4,77,32,185,1,32,32
25890,0,58,32,186,1,32,32
26266,9,111,32,187,1,32,32
26644,6,35,32,188,1,32,32
26659,10,65,32,189,1,32,32
26844,7,27,32,190,1,32,32
26878,0,413,32,191,1,32,32
27093,6,26,32,192,1,32,32
27230,0,61,32,193,1,32,32
27291,0,779,32,194,1,32,32
27305,7,40,32,195,1,32,32
27383,5,25,32,196,1,32,32
27556,5,38,32,197,1,32,32
27621,6,442,32,198,1,32,32
27641,9,23,32,199,1,32,32
27647,0,25,32,200,1,32,32
27728,6,2649,32,201,1,32,32
28008,7,54,32,202,1,32,32
28182,5,4125,32,203,1,32,32
28227,4,5186,32,204,1,32,32
28504,5,302,32,205,1,32,32
28951,6,83,32,206,1,32,32
29052,5,462,32,207,1,32,32
29066,8,50,32,208,1,32,32
29084,292,5101,256,209,1,256,256
29321,62,38,32,210,1,32,32
29509,4,10416,64,211,1,64,64
29574,5,37,32,212,1,32,32
29819,10,43,32,213,1,32,32
29893,11,663,32,214,1,32,32
30046,1573,337,128,215,1,128,128
30054,17,513,32,216,1,32,32
30157,9,5253,64,217,1,64,64
30214,10,64,32,218,1,32,32
30403,9,57,32,219,1,32,32
30416,11,1788,32,220,1,32,32
30459,13,94,32,221,1,32,32
30504,10,1509,32,222,1,32,32
30587,10,190,32,223,1,32,32
30651,10,621,32,224,1,32,32
30827,11,33,32,225,1,32,32
30880,10,30,32,226,1,32,32
30939,10,1047,32,227,1,32,32
31404,11,6472,64,228,1,64,64
32108,5,132,32,229,1,32,32
32227,13,7876,128,230,1,128,128
32274,5,33,32,231,1,32,32
32299,5,2020,32,232,1,32,32
32343,17,1649,32,233,1,32,32
32503,13,5207,32,234,1,32,32
32694,27,5002,32,235,1,32,32
32740,3,5768,32,236,1,32,32
32926,7,178,512,237,1,512,512
33148,4,9095,128,238,1,128,128
33164,5,869,512,239,1,512,512
33268,0,40,512,240,1,512,512
33309,6,4573,32,241,1,32,32
